Pomerance CUDA x16halvenonsplit prototype

p = 1000000000000000000000000103
mode = x16ecoverd4probe
seed_offset = 0
seed_mode = identity
max_trials = 100000000
chunk_trials = 100000000
probe_target_depth = 24
probe_prefix_filter_depth = 8
probe_bucket_bits = 6
k = 45
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=64

  probe_trials=99721620 elapsed=75.088 rate_Mps=1.328062 target_survivors=1520 y_draws=3194828172
  probe_trials=99730530 elapsed=75.096 rate_Mps=1.328037 target_survivors=1520 y_draws=3195191324
  probe_trials=99739156 elapsed=75.104 rate_Mps=1.328015 target_survivors=1520 y_draws=3195538300
  probe_trials=99747478 elapsed=75.112 rate_Mps=1.327988 target_survivors=1520 y_draws=3195878712
  probe_trials=99755514 elapsed=75.119 rate_Mps=1.327964 target_survivors=1520 y_draws=3196198392
  probe_trials=99763286 elapsed=75.127 rate_Mps=1.327936 target_survivors=1520 y_draws=3196519069
  probe_trials=99770816 elapsed=75.134 rate_Mps=1.327909 target_survivors=1520 y_draws=3196836584
  probe_trials=99778106 elapsed=75.141 rate_Mps=1.327877 target_survivors=1520 y_draws=3197145614
  probe_trials=99785164 elapsed=75.148 rate_Mps=1.327848 target_survivors=1520 y_draws=3197446324
  probe_trials=99791992 elapsed=75.155 rate_Mps=1.327823 target_survivors=1520 y_draws=3197744609
  probe_trials=99798568 elapsed=75.161 rate_Mps=1.327794 target_survivors=1520 y_draws=3198024111
  probe_trials=99804942 elapsed=75.168 rate_Mps=1.327765 target_survivors=1520 y_draws=3198302216
  probe_trials=99811112 elapsed=75.174 rate_Mps=1.327739 target_survivors=1520 y_draws=3198571533
  probe_trials=99817072 elapsed=75.179 rate_Mps=1.327717 target_survivors=1520 y_draws=3198828339
  probe_trials=99822852 elapsed=75.185 rate_Mps=1.327695 target_survivors=1520 y_draws=3199081821
  probe_trials=99828456 elapsed=75.191 rate_Mps=1.327666 target_survivors=1520 y_draws=3199334241
  probe_trials=99833880 elapsed=75.197 rate_Mps=1.327639 target_survivors=1520 y_draws=3199579842
  probe_trials=99839128 elapsed=75.202 rate_Mps=1.327613 target_survivors=1520 y_draws=3199819875
  probe_trials=99844202 elapsed=75.207 rate_Mps=1.327590 target_survivors=1520 y_draws=3200054907
  probe_trials=99849112 elapsed=75.212 rate_Mps=1.327561 target_survivors=1520 y_draws=3200286509
  probe_trials=99853852 elapsed=75.217 rate_Mps=1.327535 target_survivors=1520 y_draws=3200515279
  probe_trials=99858446 elapsed=75.222 rate_Mps=1.327512 target_survivors=1520 y_draws=3200732793
  probe_trials=99862882 elapsed=75.227 rate_Mps=1.327492 target_survivors=1520 y_draws=3200940945
  probe_trials=99867190 elapsed=75.231 rate_Mps=1.327470 target_survivors=1520 y_draws=3201148512
  probe_trials=99871364 elapsed=75.236 rate_Mps=1.327441 target_survivors=1520 y_draws=3201357685
  probe_trials=99875396 elapsed=75.240 rate_Mps=1.327416 target_survivors=1520 y_draws=3201559472
  probe_trials=99879302 elapsed=75.245 rate_Mps=1.327394 target_survivors=1520 y_draws=3201746982
  probe_trials=99883090 elapsed=75.249 rate_Mps=1.327367 target_survivors=1520 y_draws=3201941152
  probe_trials=99886746 elapsed=75.253 rate_Mps=1.327342 target_survivors=1520 y_draws=3202128926
  probe_trials=99890290 elapsed=75.257 rate_Mps=1.327317 target_survivors=1522 y_draws=3202307044
  probe_trials=99893720 elapsed=75.261 rate_Mps=1.327290 target_survivors=1522 y_draws=3202489617
  probe_trials=99897042 elapsed=75.265 rate_Mps=1.327265 target_survivors=1522 y_draws=3202667868
  probe_trials=99900260 elapsed=75.269 rate_Mps=1.327238 target_survivors=1522 y_draws=3202839889
  probe_trials=99903378 elapsed=75.273 rate_Mps=1.327211 target_survivors=1522 y_draws=3203014750
  probe_trials=99906398 elapsed=75.277 rate_Mps=1.327184 target_survivors=1522 y_draws=3203183815
  probe_trials=99909324 elapsed=75.281 rate_Mps=1.327155 target_survivors=1522 y_draws=3203350620
  probe_trials=99912158 elapsed=75.285 rate_Mps=1.327124 target_survivors=1522 y_draws=3203513889
  probe_trials=99914904 elapsed=75.288 rate_Mps=1.327100 target_survivors=1522 y_draws=3203674366
  probe_trials=99917564 elapsed=75.292 rate_Mps=1.327075 target_survivors=1522 y_draws=3203832341
  probe_trials=99920142 elapsed=75.295 rate_Mps=1.327049 target_survivors=1522 y_draws=3203992679
  probe_trials=99922638 elapsed=75.298 rate_Mps=1.327024 target_survivors=1522 y_draws=3204147493
  probe_trials=99925056 elapsed=75.302 rate_Mps=1.326998 target_survivors=1522 y_draws=3204297403
  probe_trials=99927398 elapsed=75.305 rate_Mps=1.326974 target_survivors=1522 y_draws=3204450475
  probe_trials=99929668 elapsed=75.308 rate_Mps=1.326950 target_survivors=1522 y_draws=3204599214
  probe_trials=99931866 elapsed=75.311 rate_Mps=1.326927 target_survivors=1522 y_draws=3204744636
  probe_trials=99933996 elapsed=75.314 rate_Mps=1.326901 target_survivors=1522 y_draws=3204888052
  probe_trials=99936060 elapsed=75.317 rate_Mps=1.326876 target_survivors=1522 y_draws=3205031318
  probe_trials=99938060 elapsed=75.320 rate_Mps=1.326847 target_survivors=1522 y_draws=3205176400
  probe_trials=99939996 elapsed=75.323 rate_Mps=1.326813 target_survivors=1522 y_draws=3205320506
  probe_trials=99941872 elapsed=75.326 rate_Mps=1.326787 target_survivors=1522 y_draws=3205464130
  probe_trials=99943690 elapsed=75.329 rate_Mps=1.326760 target_survivors=1522 y_draws=3205607496
  probe_trials=99945450 elapsed=75.332 rate_Mps=1.326732 target_survivors=1522 y_draws=3205749170
  probe_trials=99947156 elapsed=75.335 rate_Mps=1.326703 target_survivors=1522 y_draws=3205890637
  probe_trials=99948808 elapsed=75.338 rate_Mps=1.326675 target_survivors=1522 y_draws=3206031406
  probe_trials=99950408 elapsed=75.341 rate_Mps=1.326644 target_survivors=1522 y_draws=3206172398
  probe_trials=99951958 elapsed=75.344 rate_Mps=1.326612 target_survivors=1522 y_draws=3206313154
  probe_trials=99953460 elapsed=75.347 rate_Mps=1.326581 target_survivors=1522 y_draws=3206453158
  probe_trials=99954916 elapsed=75.349 rate_Mps=1.326551 target_survivors=1522 y_draws=3206593181
  probe_trials=99956326 elapsed=75.353 rate_Mps=1.326514 target_survivors=1522 y_draws=3206733826
  probe_trials=99957692 elapsed=75.356 rate_Mps=1.326480 target_survivors=1522 y_draws=3206873690
  probe_trials=99959016 elapsed=75.358 rate_Mps=1.326449 target_survivors=1522 y_draws=3207013234
  probe_trials=99960298 elapsed=75.361 rate_Mps=1.326414 target_survivors=1522 y_draws=3207152976
  probe_trials=99961540 elapsed=75.364 rate_Mps=1.326383 target_survivors=1522 y_draws=3207292475
  probe_trials=99962742 elapsed=75.367 rate_Mps=1.326348 target_survivors=1522 y_draws=3207432577
  probe_trials=99963908 elapsed=75.370 rate_Mps=1.326317 target_survivors=1522 y_draws=3207571834
  probe_trials=99965036 elapsed=75.372 rate_Mps=1.326285 target_survivors=1522 y_draws=3207711492
  probe_trials=99966130 elapsed=75.375 rate_Mps=1.326246 target_survivors=1522 y_draws=3207851562
  probe_trials=99967190 elapsed=75.378 rate_Mps=1.326212 target_survivors=1522 y_draws=3207989950
  probe_trials=99968216 elapsed=75.380 rate_Mps=1.326182 target_survivors=1522 y_draws=3208128432
