start_utc=2026-06-20T23:19:24Z
pod=vrpu64td6tcz7b gpu=RTX_6000_Ada rate_probe_Mps=52.646410
p=100000000000000000000000067 seed_offset=121 max_trials=550000000000 chunk_trials=1000000000
Pomerance CUDA x16halvenonsplit prototype

p = 100000000000000000000000067
seed_offset = 121
max_trials = 550000000000
chunk_trials = 1000000000
k = 44
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=1

  trials=76000000000 elapsed=1461.239 rate_Mps=52.010642 claimed=1000145408
  trials=77000000000 elapsed=1480.476 rate_Mps=52.010286 claimed=1000145408
  trials=78000000000 elapsed=1499.714 rate_Mps=52.009903 claimed=1000145408
  trials=79000000000 elapsed=1518.947 rate_Mps=52.009704 claimed=1000145408
  trials=80000000000 elapsed=1538.217 rate_Mps=52.008267 claimed=1000145408
  trials=81000000000 elapsed=1557.470 rate_Mps=52.007427 claimed=1000145408
  trials=82000000000 elapsed=1576.703 rate_Mps=52.007249 claimed=1000145408
  trials=83000000000 elapsed=1595.941 rate_Mps=52.006922 claimed=1000145408
  trials=84000000000 elapsed=1615.177 rate_Mps=52.006677 claimed=1000145408
  trials=85000000000 elapsed=1634.415 rate_Mps=52.006379 claimed=1000145408
  trials=86000000000 elapsed=1653.656 rate_Mps=52.005968 claimed=1000145408
  trials=87000000000 elapsed=1672.895 rate_Mps=52.005670 claimed=1000145408
  trials=88000000000 elapsed=1692.130 rate_Mps=52.005466 claimed=1000145408
  trials=89000000000 elapsed=1711.367 rate_Mps=52.005201 claimed=1000145408
  trials=90000000000 elapsed=1730.604 rate_Mps=52.004959 claimed=1000145408
  trials=91000000000 elapsed=1749.841 rate_Mps=52.004731 claimed=1000145408
  trials=92000000000 elapsed=1769.079 rate_Mps=52.004466 claimed=1000145408
  trials=93000000000 elapsed=1788.316 rate_Mps=52.004230 claimed=1000145408
  trials=94000000000 elapsed=1807.554 rate_Mps=52.003989 claimed=1000145408
  trials=95000000000 elapsed=1826.791 rate_Mps=52.003747 claimed=1000145408
  trials=96000000000 elapsed=1846.026 rate_Mps=52.003611 claimed=1000145408
  trials=97000000000 elapsed=1865.265 rate_Mps=52.003348 claimed=1000145408
  trials=98000000000 elapsed=1884.501 rate_Mps=52.003158 claimed=1000145408
  trials=99000000000 elapsed=1903.738 rate_Mps=52.002952 claimed=1000145408
  trials=100000000000 elapsed=1922.976 rate_Mps=52.002734 claimed=1000145408
  trials=101000000000 elapsed=1942.209 rate_Mps=52.002652 claimed=1000145408
  trials=102000000000 elapsed=1961.448 rate_Mps=52.002401 claimed=1000145408
  trials=103000000000 elapsed=1980.687 rate_Mps=52.002171 claimed=1000145408
  trials=104000000000 elapsed=1999.922 rate_Mps=52.002015 claimed=1000145408
  trials=105000000000 elapsed=2019.158 rate_Mps=52.001867 claimed=1000145408
  trials=106000000000 elapsed=2038.397 rate_Mps=52.001653 claimed=1000145408
  trials=107000000000 elapsed=2057.633 rate_Mps=52.001491 claimed=1000145408
  trials=108000000000 elapsed=2076.870 rate_Mps=52.001335 claimed=1000145408
  trials=109000000000 elapsed=2096.106 rate_Mps=52.001180 claimed=1000145408
  trials=110000000000 elapsed=2115.340 rate_Mps=52.001092 claimed=1000145408
  trials=111000000000 elapsed=2134.581 rate_Mps=52.000844 claimed=1000145408
  trials=112000000000 elapsed=2153.817 rate_Mps=52.000696 claimed=1000145408
  trials=113000000000 elapsed=2173.052 rate_Mps=52.000586 claimed=1000145408
  trials=114000000000 elapsed=2192.283 rate_Mps=52.000587 claimed=1000145408
  trials=115000000000 elapsed=2211.516 rate_Mps=52.000522 claimed=1000145408
